インスタンスタイプ,インスタンスファミリー,インスタンスサイズ,アベイラビリティーゾーン,無料利用枠の対象,無料トライアルが利用できます,ベアメタル,ハイパーバイザー,vCPU,アーキテクチャ,コア,有効なコア,コアごとのスレッド,コアあたり有効なスレッド,持続クロック速度 (GHz),メモリ (GiB),ストレージ (GB),ローカルインスタンスストレージ,ストレージタイプ,ストレージディスク数,EBS 暗号化のサポート,EBS 最適化のサポート,ネットワークパフォーマンス,ベースライン帯域幅 (Gbps),バースト帯域幅 (Gbps),ENA 対応,ネットワークインターフェイスの最大数,インターフェイスあたりの IPv4 アドレス,インターフェイスあたりの IPv6 アドレス,IPv6 サポート,サポートされているプレイスメントグループ戦略,GPU,FPGA,自動復旧のサポート,サポートされているルートデバイスタイプ,Dedicated Host のサポート,オンデマンド休止のサポート,バースト可能パフォーマンスのサポート,現行世代,ENA Express のサポート,オンデマンド Windows 料金(USD/時間),オンデマンド Linux 料金(USD/時間),オンデマンド SUSE 料金(USD/時間),オンデマンド RHEL 料金(USD/時間),"オンデマンド ap-northeast-1-tpe-1 Windows 料金(USD/時間)","オンデマンド ap-northeast-1-tpe-1 SUSE 料金(USD/時間)","オンデマンド ap-northeast-1-tpe-1 RHEL 料金(USD/時間)","オンデマンド ap-northeast-1-tpe-1 Linux 料金(USD/時間)",最大帯域幅 (Mbps),最大スループット (MB/秒､128 KiB I/O),最大 IOPS (16 KiB I/O),ベースラインの帯域幅 (Mbps),ベースラインスループット (MB/秒、128 KiB I/O),ベースライン IOPS (16 KiB I/O)
d2.8xlarge,d2,8xlarge,"az2, az1, az4",FALSE,FALSE,FALSE,xen,36,x86_64,18,"2,4,6,8,10,12,14,16,18",2,"1,2",2.4,244,49152,True,hdd,24,supported,default,10G,-,-,unsupported,8,30,30,True,"cluster, partition, spread",-,-,-,"ebs, instance-store",True,-,-,TRUE,FALSE,7.43,6.752,6.852,6.882,,,,,4000,500,32000,4000,500,32000
d3.xlarge,d3,xlarge,"az4, az1",FALSE,FALSE,FALSE,nitro,4,x86_64,2,"1,2",2,"1,2",3.1,32,5940,True,hdd,3,supported,default,max 15G,3,15,required,4,3,3,True,"cluster, partition, spread",-,-,-,ebs,-,-,-,TRUE,FALSE,0.908,0.724,0.78,0.784,,,,,2800,350,15000,850,106.25,5000
d3.2xlarge,d3,2xlarge,"az1, az4",FALSE,FALSE,FALSE,nitro,8,x86_64,4,"2,4",2,"1,2",3.1,64,11880,True,hdd,6,supported,default,max 15G,6,15,required,4,5,5,True,"cluster, partition, spread",-,-,-,ebs,-,-,-,TRUE,FALSE,1.816,1.448,1.573,1.578,,,,,2800,350,15000,1700,212.5,10000
d3.4xlarge,d3,4xlarge,"az1, az4",FALSE,FALSE,FALSE,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.1,128,23760,True,hdd,12,supported,default,max 15G,12.5,15,required,4,10,10,True,"cluster, partition, spread",-,-,-,ebs,-,-,-,TRUE,FALSE,3.633,2.897,3.022,3.027,,,,,2800,350,15000,2800,350,15000
d3.8xlarge,d3,8xlarge,"az1, az4",FALSE,FALSE,FALSE,nitro,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",3.1,256,47520,True,hdd,24,supported,default,25G,-,-,required,3,20,20,True,"cluster, partition, spread",-,-,-,ebs,-,-,-,TRUE,FALSE,7.26544,5.79344,5.91844,5.92344,,,,,5000,625,30000,5000,625,30000
d3en.xlarge,d3en,xlarge,"az4, az1",FALSE,FALSE,FALSE,nitro,4,x86_64,2,"1,2",2,"1,2",3.1,16,27960,True,hdd,2,supported,default,max 25G,6,25,required,4,3,3,True,"cluster, partition, spread",-,-,-,ebs,-,-,-,TRUE,FALSE,0.946,0.762,0.819,0.822,,,,,2800,350,15000,850,106.25,5000
d3en.2xlarge,d3en,2xlarge,"az4, az1",FALSE,FALSE,FALSE,nitro,8,x86_64,4,"2,4",2,"1,2",3.1,32,55920,True,hdd,4,supported,default,max 25G,12.5,25,required,4,5,5,True,"cluster, partition, spread",-,-,-,ebs,-,-,-,TRUE,FALSE,1.893,1.525,1.65,1.655,,,,,2800,350,15000,1700,212.5,10000
d3en.4xlarge,d3en,4xlarge,"az4, az1",FALSE,FALSE,FALSE,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.1,64,111840,True,hdd,8,supported,default,25G,-,-,required,4,10,10,True,"cluster, partition, spread",-,-,-,ebs,-,-,-,TRUE,FALSE,3.785,3.049,3.174,3.179,,,,,2800,350,15000,2800,350,15000
d3en.6xlarge,d3en,6xlarge,"az4, az1",FALSE,FALSE,FALSE,nitro,24,x86_64,12,"2,4,6,8,10,12",2,"1,2",3.1,96,167760,True,hdd,12,supported,default,40G,-,-,required,4,15,15,True,"cluster, partition, spread",-,-,-,ebs,-,-,-,TRUE,FALSE,5.678,4.574,4.699,4.704,,,,,4000,500,25000,4000,500,25000
d3en.8xlarge,d3en,8xlarge,"az4, az1",FALSE,FALSE,FALSE,nitro,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",3.1,128,223680,True,hdd,16,supported,default,50G,-,-,required,4,20,20,True,"cluster, partition, spread",-,-,-,ebs,-,-,-,TRUE,FALSE,7.5704,6.0984,6.2234,6.2284,,,,,5000,625,30000,5000,625,30000
d3en.12xlarge,d3en,12xlarge,"az4, az1",FALSE,FALSE,FALSE,nitro,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,"1,2",3.1,192,335520,True,hdd,24,supported,default,75G,-,-,required,3,30,30,True,"cluster, partition, spread",-,-,-,ebs,-,-,-,TRUE,FALSE,11.3556,9.1476,9.2726,9.2776,,,,,7000,875,40000,7000,875,40000
g3.4xlarge,g3,4xlarge,"az1, az4",FALSE,FALSE,FALSE,xen,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",2.7,122,-,-,-,-,supported,default,max 10G,5,10,supported,8,30,30,True,"cluster, partition, spread",1,-,True,ebs,True,-,-,TRUE,FALSE,2.316,1.58,1.68,1.71,,,,,3500,437.5,20000,3500,437.5,20000
g3.8xlarge,g3,8xlarge,"az1, az4",FALSE,FALSE,FALSE,xen,32,x86_64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",2,"1,2",2.7,244,-,-,-,-,supported,default,10G,-,-,supported,8,30,30,True,"cluster, partition, spread",2,-,True,ebs,True,-,-,TRUE,FALSE,4.632,3.16,3.26,3.29,,,,,7000,875,40000,7000,875,40000
g3.16xlarge,g3,16xlarge,"az4, az1",FALSE,FALSE,FALSE,xen,64,x86_64,32,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32",2,"1,2",2.3,488,-,-,-,-,supported,default,25G,-,-,supported,15,50,50,True,"cluster, partition, spread",4,-,True,ebs,True,-,-,TRUE,FALSE,9.264,6.32,6.42,6.45,,,,,14000,1750,80000,14000,1750,80000
g3s.xlarge,g3s,xlarge,"az1, az4",FALSE,FALSE,FALSE,xen,4,x86_64,2,"1,2",2,"1,2",2.7,30.5,-,-,-,-,supported,default,max 10G,-,-,required,4,15,15,True,"cluster, partition, spread",1,-,True,ebs,-,-,-,TRUE,FALSE,1.224,1.04,1.096,1.1,,,,,-,-,-,-,-,-
g4ad.xlarge,g4ad,xlarge,"az4, az1, az2",FALSE,FALSE,FALSE,nitro,4,x86_64,2,2,2,"1,2",3,16,150,True,ssd,1,supported,default,max 10G,2,10,required,2,4,4,True,"cluster, partition, spread",1,-,-,ebs,-,-,-,TRUE,FALSE,0.69482,0.51082,0.56712,0.57082,,,,,3170,396.25,13333,400,50,1700
g4ad.2xlarge,g4ad,2xlarge,"az1, az4, az2",FALSE,FALSE,FALSE,nitro,8,x86_64,4,"2,4",2,"1,2",3,32,300,True,ssd,1,supported,default,max 10G,4.167,10,required,2,4,4,True,"cluster, partition, spread",1,-,-,ebs,-,-,-,TRUE,FALSE,1.0983,0.7303,0.8553,0.8603,,,,,3170,396.25,13333,800,100,3400
g4ad.4xlarge,g4ad,4xlarge,"az4, az2, az1",FALSE,FALSE,FALSE,nitro,16,x86_64,8,"2,4,8",2,"1,2",3,64,600,True,ssd,1,supported,default,max 10G,8.333,10,required,3,10,10,True,"cluster, partition, spread",1,-,-,ebs,True,-,-,TRUE,FALSE,1.906,1.17,1.295,1.3,,,,,3170,396.25,13333,1580,197.5,6700
g4ad.8xlarge,g4ad,8xlarge,"az2, az1, az4",FALSE,FALSE,FALSE,nitro,32,x86_64,16,"2,4,8,16",2,"1,2",3,128,1200,True,ssd,1,supported,default,15G,-,-,required,4,15,15,True,"cluster, partition, spread",2,-,-,ebs,True,-,-,TRUE,FALSE,3.812,2.34,2.465,2.47,,,,,3170,396.25,13333,3170,396.25,13333
g4ad.16xlarge,g4ad,16xlarge,"az2, az1, az4",FALSE,FALSE,FALSE,nitro,64,x86_64,32,"2,4,8,16,32",2,"1,2",3,256,2400,True,ssd,2,supported,default,25G,-,-,required,8,30,30,True,"cluster, partition, spread",4,-,-,ebs,-,-,-,TRUE,FALSE,7.624,4.68,4.805,4.81,,,,,6300,787.5,26667,6300,787.5,26667
g4dn.xlarge,g4dn,xlarge,"az1, az4, az2",FALSE,FALSE,FALSE,nitro,4,x86_64,2,2,2,"1,2",2.5,16,125,True,ssd,1,supported,default,max 25G,5,25,required,3,10,10,True,"cluster, partition, spread",1,-,-,ebs,-,-,-,TRUE,FALSE,0.894,0.71,0.766,0.77,,,,,3500,437.5,20000,950,118.75,3000
g4dn.2xlarge,g4dn,2xlarge,"az4, az2, az1",FALSE,FALSE,FALSE,nitro,8,x86_64,4,"2,4",2,"1,2",2.5,32,225,True,ssd,1,supported,default,max 25G,10,25,required,3,10,10,True,"cluster, partition, spread",1,-,-,ebs,-,-,-,TRUE,FALSE,1.383,1.015,1.14,1.145,1.739,1.496,1.501,1.371,3500,437.5,20000,1150,143.75,6000
g4dn.4xlarge,g4dn,4xlarge,"az2, az1, az4",FALSE,FALSE,FALSE,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",2.5,64,225,True,ssd,1,supported,default,max 25G,20,25,required,3,10,10,True,"cluster, partition, spread",1,-,-,ebs,-,-,-,TRUE,FALSE,2.361,1.625,1.75,1.755,,,,,4750,593.75,20000,4750,593.75,20000
g4dn.8xlarge,g4dn,8xlarge,"az2, az1, az4",FALSE,FALSE,FALSE,nitro,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",2.5,128,900,True,ssd,1,supported,default,50G,-,-,required,4,15,15,True,"cluster, partition, spread",1,-,-,ebs,-,-,-,TRUE,FALSE,4.41,2.938,3.063,3.068,,,,,9500,1187.5,40000,9500,1187.5,40000
g4dn.12xlarge,g4dn,12xlarge,"az2, az1, az4",FALSE,FALSE,FALSE,nitro,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,"1,2",2.5,192,900,True,ssd,1,supported,default,50G,-,-,required,8,30,30,True,"cluster, partition, spread",4,-,-,ebs,True,-,-,TRUE,FALSE,7.489,5.281,5.406,5.411,,,,,9500,1187.5,40000,9500,1187.5,40000
g4dn.16xlarge,g4dn,16xlarge,"az1, az4, az2",FALSE,FALSE,FALSE,nitro,64,x86_64,32,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32",2,"1,2",2.5,256,900,True,ssd,1,supported,default,50G,-,-,required,4,15,15,True,"cluster, partition, spread",1,-,-,ebs,-,-,-,TRUE,FALSE,8.819,5.875,6,6.005,,,,,9500,1187.5,40000,9500,1187.5,40000
g4dn.metal,g4dn,metal,"az2, az4, az1",FALSE,FALSE,TRUE,,96,x86_64,48,-,2,-,2.5,384,1800,True,ssd,2,supported,default,100G,-,-,required,15,50,50,True,"cluster, partition, spread",8,-,-,ebs,True,-,-,TRUE,FALSE,14.978,10.562,10.687,10.692,,,,,19000,2375,80000,19000,2375,80000
g5.xlarge,g5,xlarge,"az4, az1",FALSE,FALSE,FALSE,nitro,4,x86_64,2,-,2,-,3.3,16,250,True,ssd,1,supported,default,max 10G,2.5,10,required,4,15,15,True,"cluster, partition, spread",1,-,-,ebs,-,-,-,TRUE,FALSE,1.643,1.459,1.5153,1.519,,,,,3500,437.5,15000,700,87.5,3000
g5.2xlarge,g5,2xlarge,"az1, az4",FALSE,FALSE,FALSE,nitro,8,x86_64,4,-,2,-,3.3,32,450,True,ssd,1,supported,default,max 10G,5,10,required,4,15,15,True,"cluster, partition, spread",1,-,-,ebs,-,-,-,TRUE,FALSE,2.12576,1.75776,1.88276,1.88776,,,,,3500,437.5,15000,850,106.25,3500
g5.4xlarge,g5,4xlarge,"az1, az4",FALSE,FALSE,FALSE,nitro,16,x86_64,8,-,2,-,3.3,64,600,True,ssd,1,supported,default,max 25G,10,25,required,8,30,30,True,"cluster, partition, spread",1,-,-,ebs,-,-,-,TRUE,FALSE,3.09128,2.35528,2.48028,2.48528,,,,,4750,593.75,20000,4750,593.75,20000
g5.8xlarge,g5,8xlarge,"az4, az1",FALSE,FALSE,FALSE,nitro,32,x86_64,16,-,2,-,3.3,128,900,True,ssd,1,supported,default,25G,-,-,required,8,30,30,True,"cluster, partition, spread",1,-,-,ebs,-,-,-,TRUE,FALSE,5.02233,3.55033,3.67533,3.68033,,,,,16000,2000,65000,16000,2000,65000
g5.12xlarge,g5,12xlarge,"az1, az4",FALSE,FALSE,FALSE,nitro,48,x86_64,24,-,2,-,3.3,192,3800,True,ssd,1,supported,default,40G,-,-,required,15,50,50,True,"cluster, partition, spread",4,-,-,ebs,-,-,-,TRUE,FALSE,10.43409,8.22609,8.35109,8.35609,,,,,16000,2000,65000,16000,2000,65000
g5.16xlarge,g5,16xlarge,"az4, az1",FALSE,FALSE,FALSE,nitro,64,x86_64,32,-,2,-,3.3,256,1900,True,ssd,1,supported,default,25G,-,-,required,8,30,30,True,"cluster, partition, spread",1,-,-,ebs,-,-,-,TRUE,FALSE,8.88442,5.94042,6.06542,6.07042,,,,,16000,2000,65000,16000,2000,65000
g5.24xlarge,g5,24xlarge,"az1, az4",FALSE,FALSE,FALSE,nitro,96,x86_64,48,-,2,-,3.3,384,3800,True,ssd,1,supported,default,50G,-,-,required,15,50,50,True,"cluster, partition, spread",4,-,-,ebs,True,-,-,TRUE,FALSE,16.22723,11.81123,11.93623,11.94123,,,,,19000,2375,80000,19000,2375,80000
g5.48xlarge,g5,48xlarge,"az4, az1",FALSE,FALSE,FALSE,nitro,192,x86_64,96,-,2,-,3.3,768,7600,True,ssd,2,supported,default,100G,-,-,required,7,50,50,True,"cluster, partition, spread",8,-,-,ebs,True,-,-,TRUE,FALSE,32.45446,23.62246,23.74746,23.75246,,,,,19000,2375,80000,19000,2375,80000
g5g.xlarge,g5g,xlarge,"az2, az1",FALSE,FALSE,FALSE,nitro,4,arm64,4,"1,2,3,4",1,1,2.5,8,-,-,-,-,supported,default,max 10G,1.25,10,required,4,15,15,True,"cluster, partition, spread",1,-,True,ebs,-,-,-,TRUE,FALSE,,0.5669,0.6232,0.6269,,,,,4750,593.75,20000,1188,148.5,6000
g5g.2xlarge,g5g,2xlarge,"az2, az1",FALSE,FALSE,FALSE,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.5,16,-,-,-,-,supported,default,max 10G,2.5,10,required,4,15,15,True,"cluster, partition, spread",1,-,True,ebs,-,-,-,TRUE,FALSE,,0.7505,0.8755,0.8805,,,,,4750,593.75,20000,2375,296.88,12000
g5g.4xlarge,g5g,4xlarge,"az1, az2",FALSE,FALSE,FALSE,nitro,16,arm64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,1,2.5,32,-,-,-,-,supported,default,max 10G,5,10,required,8,30,30,True,"cluster, partition, spread",1,-,True,ebs,-,-,-,TRUE,FALSE,,1.1176,1.2426,1.2476,,,,,4750,593.75,20000,4750,593.75,20000
g5g.8xlarge,g5g,8xlarge,"az1, az2",FALSE,FALSE,FALSE,nitro,32,arm64,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",1,1,2.5,64,-,-,-,-,supported,default,12G,-,-,required,8,30,30,True,"cluster, partition, spread",1,-,True,ebs,-,-,-,TRUE,FALSE,,1.8519,1.9769,1.9819,,,,,9500,1187.5,40000,9500,1187.5,40000
g5g.16xlarge,g5g,16xlarge,"az2, az1",FALSE,FALSE,FALSE,nitro,64,arm64,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",1,1,2.5,128,-,-,-,-,supported,default,25G,-,-,required,15,50,50,True,"cluster, partition, spread",2,-,True,ebs,True,-,-,TRUE,FALSE,,3.7039,3.8289,3.8339,,,,,19000,2375,80000,19000,2375,80000
g5g.metal,g5g,metal,"az2, az1",FALSE,FALSE,TRUE,,64,arm64,64,-,1,-,2.5,128,-,-,-,-,supported,default,25G,-,-,required,15,50,50,True,"cluster, partition, spread",2,-,-,ebs,True,-,-,TRUE,FALSE,,3.7039,3.8289,3.8339,,,,,19000,2375,80000,19000,2375,80000
hpc7g.4xlarge,hpc7g,4xlarge,az4,FALSE,FALSE,FALSE,nitro,16,arm64,16,-,1,-,2.6,128,-,-,-,-,supported,default,200G,-,-,required,4,50,50,True,"cluster, partition, spread",-,-,True,ebs,-,-,-,TRUE,FALSE,,2.1117,2.2367,2.2417,,,,,2085,260.62,11000,87,10.88,500
hpc7g.8xlarge,hpc7g,8xlarge,az4,FALSE,FALSE,FALSE,nitro,32,arm64,32,-,1,-,2.6,128,-,-,-,-,supported,default,200G,-,-,required,4,50,50,True,"cluster, partition, spread",-,-,True,ebs,-,-,-,TRUE,FALSE,,2.1117,2.2367,2.2417,,,,,2085,260.62,11000,87,10.88,500
hpc7g.16xlarge,hpc7g,16xlarge,az4,FALSE,FALSE,FALSE,nitro,64,arm64,64,-,1,-,2.6,128,-,-,-,-,supported,default,200G,-,-,required,4,50,50,True,"cluster, partition, spread",-,-,True,ebs,-,-,-,TRUE,FALSE,,2.1117,2.2367,2.2417,,,,,2085,260.62,11000,87,10.88,500
i2.xlarge,i2,xlarge,"az4, az1",FALSE,FALSE,FALSE,xen,4,x86_64,2,"1,2",2,"1,2",2.5,30.5,800,True,ssd,1,supported,supported,中,-,-,unsupported,4,15,15,True,"cluster, partition, spread",-,-,-,"ebs, instance-store",True,-,-,FALSE,FALSE,1.113,1.001,1.101,1.061,,,,,500,62.5,4000,500,62.5,0
i2.2xlarge,i2,2xlarge,"az1, az4",FALSE,FALSE,FALSE,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.5,61,1600,True,ssd,2,supported,supported,高,-,-,unsupported,4,15,15,True,"cluster, partition, spread",-,-,-,"ebs, instance-store",True,-,-,FALSE,FALSE,2.226,2.001,2.101,2.131,,,,,1000,125,8000,1000,125,0
i2.4xlarge,i2,4xlarge,"az1, az4",FALSE,FALSE,FALSE,xen,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",2.5,122,3200,True,ssd,4,supported,supported,高,-,-,unsupported,8,30,30,True,"cluster, partition, spread",-,-,-,"ebs, instance-store",True,-,-,FALSE,FALSE,4.451,4.002,4.102,4.132,,,,,2000,250,16000,2000,250,0
i2.8xlarge,i2,8xlarge,"az4, az1",FALSE,FALSE,FALSE,xen,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",2.5,244,6400,True,ssd,8,supported,unsupported,10G,-,-,unsupported,8,30,30,True,"cluster, partition, spread",-,-,-,"ebs, instance-store",True,-,-,FALSE,FALSE,8.903,8.004,8.104,8.134,,,,,-,-,-,-,-,-
i3.large,i3,large,"az4, az2, az1",FALSE,FALSE,FALSE,xen,2,x86_64,1,1,2,"1,2",2.3,15.3,475,True,ssd,1,supported,default,max 10G,0.75,10,supported,3,10,10,True,"cluster, partition, spread",-,-,-,ebs,True,True,-,TRUE,FALSE,0.275,0.183,0.283,0.243,,,,,425,53.125,3000,425,53.125,3000
i3.xlarge,i3,xlarge,"az4, az2, az1",FALSE,FALSE,FALSE,xen,4,x86_64,2,"1,2",2,"1,2",2.3,30.5,950,True,ssd,1,supported,default,max 10G,1.25,10,supported,4,15,15,True,"cluster, partition, spread",-,-,-,ebs,True,True,-,TRUE,FALSE,0.55,0.366,0.466,0.426,,,,,850,106.25,6000,850,106.25,6000
i3.2xlarge,i3,2xlarge,"az4, az1, az2",FALSE,FALSE,FALSE,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.3,61,1900,True,ssd,1,supported,default,max 10G,2.5,10,supported,4,15,15,True,"cluster, partition, spread",-,-,-,ebs,True,True,-,TRUE,FALSE,1.1,0.732,0.832,0.862,,,,,1700,212.5,12000,1700,212.5,12000
i3.4xlarge,i3,4xlarge,"az4, az1, az2",FALSE,FALSE,FALSE,xen,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",2.3,122,3800,True,ssd,2,supported,default,max 10G,5,10,supported,8,30,30,True,"cluster, partition, spread",-,-,-,ebs,True,True,-,TRUE,FALSE,2.2,1.464,1.564,1.594,,,,,3500,437.5,16000,3500,437.5,16000
i3.8xlarge,i3,8xlarge,"az1, az4, az2",FALSE,FALSE,FALSE,xen,32,x86_64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",2,"1,2",2.3,244,7600,True,ssd,4,supported,default,10G,-,-,supported,8,30,30,True,"cluster, partition, spread",-,-,-,ebs,True,-,-,TRUE,FALSE,4.4,2.928,3.028,3.058,,,,,7000,875,32500,7000,875,32500
i3.16xlarge,i3,16xlarge,"az4, az1, az2",FALSE,FALSE,FALSE,xen,64,x86_64,32,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32",2,"1,2",2.3,488,15200,True,ssd,8,supported,default,25G,-,-,supported,15,50,50,True,"cluster, partition, spread",-,-,-,ebs,True,-,-,TRUE,FALSE,8.8,5.856,5.956,5.986,,,,,14000,1750,65000,14000,1750,65000
i3.metal,i3,metal,"az4, az2, az1",FALSE,FALSE,TRUE,,72,x86_64,36,-,2,-,2.3,512,15200,True,ssd,8,supported,default,25G,-,-,required,15,50,50,True,"cluster, partition, spread",-,-,-,ebs,True,-,-,TRUE,FALSE,8.8,5.856,5.956,5.986,,,,,19000,2375,80000,19000,2375,80000
i3en.large,i3en,large,"az2, az1, az4",FALSE,FALSE,FALSE,nitro,2,x86_64,1,1,2,"1,2",3.1,16,1250,True,ssd,1,supported,default,max 25G,2.1,25,required,3,10,10,True,"cluster, partition, spread",-,-,-,ebs,True,True,-,TRUE,FALSE,0.358,0.266,0.322,0.326,,,,,4750,593.75,20000,576,72.1,3000
i3en.xlarge,i3en,xlarge,"az1, az2, az4",FALSE,FALSE,FALSE,nitro,4,x86_64,2,"1,2",2,"1,2",3.1,32,2500,True,ssd,1,supported,default,max 25G,4.2,25,required,4,15,15,True,"cluster, partition, spread",-,-,-,ebs,True,True,-,TRUE,FALSE,0.716,0.532,0.588,0.592,,,,,4750,593.75,20000,1153,144.2,6000
i3en.2xlarge,i3en,2xlarge,"az4, az1, az2",FALSE,FALSE,FALSE,nitro,8,x86_64,4,"2,4",2,"1,2",3.1,64,5000,True,ssd,2,supported,default,max 25G,8.4,25,required,4,15,15,True,"cluster, partition, spread",-,-,-,ebs,True,True,-,TRUE,FALSE,1.432,1.064,1.189,1.194,,,,,4750,593.75,20000,2307,288.39,12000
i3en.3xlarge,i3en,3xlarge,"az1, az4, az2",FALSE,FALSE,FALSE,nitro,12,x86_64,6,"2,4,6",2,"1,2",3.1,96,7500,True,ssd,1,supported,default,max 25G,12.5,25,required,4,15,15,True,"cluster, partition, spread",-,-,-,ebs,True,True,-,TRUE,FALSE,2.148,1.596,1.721,1.726,,,,,4750,593.75,20000,3800,475,15000
i3en.6xlarge,i3en,6xlarge,"az2, az1, az4",FALSE,FALSE,FALSE,nitro,24,x86_64,12,"2,4,6,8,10,12",2,"1,2",3.1,192,15000,True,ssd,2,supported,default,25G,-,-,required,8,30,30,True,"cluster, partition, spread",-,-,-,ebs,True,-,-,TRUE,FALSE,4.296,3.192,3.317,3.322,,,,,4750,593.75,20000,4750,593.75,20000
i3en.12xlarge,i3en,12xlarge,"az4, az2, az1",FALSE,FALSE,FALSE,nitro,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,"1,2",3.1,384,30000,True,ssd,4,supported,default,50G,-,-,required,8,30,30,True,"cluster, partition, spread",-,-,-,ebs,True,-,-,TRUE,FALSE,8.592,6.384,6.509,6.514,,,,,9500,1187.5,40000,9500,1187.5,40000
i3en.24xlarge,i3en,24xlarge,"az2, az4, az1",FALSE,FALSE,FALSE,nitro,96,x86_64,48,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.1,768,60000,True,ssd,8,supported,default,100G,-,-,required,15,50,50,True,"cluster, partition, spread",-,-,-,ebs,True,-,-,TRUE,FALSE,17.184,12.768,12.893,12.898,,,,,19000,2375,80000,19000,2375,80000
i3en.metal,i3en,metal,"az4, az2, az1",FALSE,FALSE,TRUE,,96,x86_64,48,-,2,-,3.1,768,60000,True,ssd,8,supported,default,100G,-,-,required,15,50,50,True,"cluster, partition, spread",-,-,-,ebs,True,-,-,TRUE,FALSE,17.184,12.768,12.893,12.898,,,,,19000,2375,80000,19000,2375,80000
i4i.large,i4i,large,"az2, az1, az4",FALSE,FALSE,FALSE,nitro,2,x86_64,1,1,2,"1,2",3.5,16,468,True,ssd,1,supported,default,max 10G,0.781,10,required,3,10,10,True,"cluster, partition, spread",-,-,-,ebs,True,-,-,TRUE,FALSE,0.293,0.201,0.258,0.261,,,,,10000,1250,40000,625,78.12,2500
i4i.xlarge,i4i,xlarge,"az4, az1, az2",FALSE,FALSE,FALSE,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,32,937,True,ssd,1,supported,default,max 10G,1.875,10,required,4,15,15,True,"cluster, partition, spread",-,-,-,ebs,True,-,-,TRUE,FALSE,0.587,0.403,0.459,0.463,,,,,10000,1250,40000,1250,156.25,5000
i4i.2xlarge,i4i,2xlarge,"az4, az2, az1",FALSE,FALSE,FALSE,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.5,64,1875,True,ssd,1,supported,default,max 12G,4.687,12,required,4,15,15,True,"cluster, partition, spread",-,-,-,ebs,True,-,-,TRUE,FALSE,1.173,0.805,0.93,0.935,,,,,10000,1250,40000,2500,312.5,10000
i4i.4xlarge,i4i,4xlarge,"az2, az1, az4",FALSE,FALSE,FALSE,nitro,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",3.5,128,3750,True,ssd,1,supported,default,max 25G,9.375,25,required,8,30,30,True,"cluster, partition, spread",-,-,-,ebs,True,-,-,TRUE,FALSE,2.346,1.61,1.735,1.74,,,,,10000,1250,40000,5000,625,20000
i4i.8xlarge,i4i,8xlarge,"az4, az1, az2",FALSE,FALSE,FALSE,nitro,32,x86_64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",2,"1,2",3.5,256,7500,True,ssd,2,supported,default,18.75G,-,-,required,8,30,30,True,"cluster, partition, spread",-,-,-,ebs,True,-,-,TRUE,FALSE,4.693,3.221,3.346,3.351,,,,,10000,1250,40000,10000,1250,40000
i4i.16xlarge,i4i,16xlarge,"az1, az4, az2",FALSE,FALSE,FALSE,nitro,64,x86_64,32,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32",2,"1,2",3.5,512,15000,True,ssd,4,supported,default,37.5G,-,-,required,15,50,50,True,"cluster, partition, spread",-,-,-,ebs,True,-,-,TRUE,FALSE,9.386,6.442,6.567,6.572,,,,,20000,2500,80000,20000,2500,80000
